station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-07-18,00:00 - 00:30,00:00 - 00:30,21.8,22.1,21.6,88.0,0.0
Fornells de la Selva,2026-07-18,00:30 - 01:00,00:30 - 01:00,21.2,21.6,20.8,90.0,0.0
Fornells de la Selva,2026-07-18,01:00 - 01:30,01:00 - 01:30,20.9,21.1,20.7,91.0,0.0
Fornells de la Selva,2026-07-18,01:30 - 02:00,01:30 - 02:00,20.8,20.9,20.5,89.0,0.0
Fornells de la Selva,2026-07-18,02:00 - 02:30,02:00 - 02:30,20.5,20.9,20.0,88.0,0.0
Fornells de la Selva,2026-07-18,02:30 - 03:00,02:30 - 03:00,20.0,20.1,19.9,90.0,0.0
Fornells de la Selva,2026-07-18,03:00 - 03:30,03:00 - 03:30,19.9,20.1,19.7,89.0,0.0
Fornells de la Selva,2026-07-18,03:30 - 04:00,03:30 - 04:00,19.3,19.7,19.1,91.0,0.0
Fornells de la Selva,2026-07-18,04:00 - 04:30,04:00 - 04:30,19.2,19.3,19.2,90.0,0.0
Fornells de la Selva,2026-07-18,04:30 - 05:00,04:30 - 05:00,19.5,19.6,19.4,88.0,0.0
Fornells de la Selva,2026-07-18,05:00 - 05:30,05:00 - 05:30,20.1,20.8,19.6,85.0,0.0
Fornells de la Selva,2026-07-18,05:30 - 06:00,05:30 - 06:00,21.5,22.0,20.8,81.0,0.0
Fornells de la Selva,2026-07-18,06:00 - 06:30,06:00 - 06:30,22.6,23.7,22.1,80.0,0.0
Fornells de la Selva,2026-07-18,06:30 - 07:00,06:30 - 07:00,24.6,25.9,23.7,72.0,0.0
Fornells de la Selva,2026-07-18,07:00 - 07:30,07:00 - 07:30,26.7,27.5,25.9,64.0,0.0
Fornells de la Selva,2026-07-18,07:30 - 08:00,07:30 - 08:00,28.6,29.8,27.5,58.0,0.0
Fornells de la Selva,2026-07-18,08:00 - 08:30,08:00 - 08:30,30.2,30.7,29.7,50.0,0.0
Fornells de la Selva,2026-07-18,08:30 - 09:00,08:30 - 09:00,31.4,32.4,30.8,45.0,0.0
Fornells de la Selva,2026-07-18,09:00 - 09:30,09:00 - 09:30,32.3,33.1,31.7,42.0,0.0
Fornells de la Selva,2026-07-18,09:30 - 10:00,09:30 - 10:00,33.2,34.1,32.5,38.0,0.0
Fornells de la Selva,2026-07-18,10:00 - 10:30,10:00 - 10:30,34.0,35.0,32.7,36.0,0.0
