station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-06-10,00:00 - 00:30,00:00 - 00:30,17.4,17.6,17.2,81.0,0.0,0.7,281.0,4.0,1017.4,0.0
Girona,2026-06-10,00:30 - 01:00,00:30 - 01:00,17.5,17.7,17.3,82.0,0.0,1.1,348.0,3.6,1017.5,0.0
Girona,2026-06-10,01:00 - 01:30,01:00 - 01:30,17.5,17.7,16.5,84.0,2.4,2.5,318.0,5.8,1017.7,0.0
Girona,2026-06-10,01:30 - 02:00,01:30 - 02:00,15.3,16.5,14.7,94.0,2.3,5.0,46.0,13.3,1017.9,0.0
Girona,2026-06-10,02:00 - 02:30,02:00 - 02:30,14.6,14.8,14.5,97.0,1.1,2.5,35.0,6.8,1017.9,0.0
Girona,2026-06-10,02:30 - 03:00,02:30 - 03:00,14.7,14.7,14.5,99.0,0.1,2.2,344.0,7.6,1017.8,0.0
Girona,2026-06-10,03:00 - 03:30,03:00 - 03:30,14.6,14.7,14.4,99.0,0.1,2.2,318.0,5.4,1017.8,0.0
Girona,2026-06-10,03:30 - 04:00,03:30 - 04:00,14.7,14.7,14.6,100.0,0.0,2.2,305.0,5.8,1017.8,0.0
Girona,2026-06-10,04:00 - 04:30,04:00 - 04:30,14.7,14.8,14.6,100.0,0.0,1.4,332.0,3.6,1018.0,2.0
Girona,2026-06-10,04:30 - 05:00,04:30 - 05:00,14.8,14.9,14.7,100.0,0.1,2.9,308.0,6.5,1018.1,11.0
Girona,2026-06-10,05:00 - 05:30,05:00 - 05:30,14.9,15.0,14.7,96.0,0.0,2.2,304.0,7.2,1018.4,24.0
Girona,2026-06-10,05:30 - 06:00,05:30 - 06:00,15.1,15.3,14.9,94.0,0.0,1.8,327.0,9.4,1018.5,51.0
Girona,2026-06-10,06:00 - 06:30,06:00 - 06:30,15.3,15.4,15.3,86.0,0.0,2.2,10.0,7.9,1018.7,61.0
