station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-01-27,00:00 - 00:30,00:00 - 00:30,8.3,8.8,7.8,77.0,0.0,6.1,188.0,12.6,1004.3,0.0
Girona,2026-01-27,00:30 - 01:00,00:30 - 01:00,9.2,10.0,8.8,73.0,0.0,8.3,184.0,22.0,1004.2,0.0
Girona,2026-01-27,01:00 - 01:30,01:00 - 01:30,10.6,11.1,10.0,67.0,0.0,13.0,238.0,27.0,1003.6,0.0
Girona,2026-01-27,01:30 - 02:00,01:30 - 02:00,8.5,10.7,7.1,75.0,0.0,6.1,31.0,15.1,1003.5,0.0
Girona,2026-01-27,02:00 - 02:30,02:00 - 02:30,6.5,7.1,6.0,85.0,0.0,3.2,318.0,10.8,1003.4,0.0
Girona,2026-01-27,02:30 - 03:00,02:30 - 03:00,5.7,6.0,5.1,89.0,0.0,2.5,351.0,5.8,1003.1,0.0
Girona,2026-01-27,03:00 - 03:30,03:00 - 03:30,5.2,5.4,5.0,92.0,0.0,1.4,346.0,4.3,1002.4,0.0
Girona,2026-01-27,03:30 - 04:00,03:30 - 04:00,5.0,5.1,4.7,95.0,0.0,2.9,256.0,6.1,1001.9,0.0
Girona,2026-01-27,04:00 - 04:30,04:00 - 04:30,5.4,6.1,5.0,95.0,0.0,2.9,184.0,6.5,1001.4,0.0
Girona,2026-01-27,04:30 - 05:00,04:30 - 05:00,5.3,5.7,5.0,94.0,0.0,2.9,355.0,7.9,1000.8,0.0
Girona,2026-01-27,05:00 - 05:30,05:00 - 05:30,5.3,5.6,5.0,97.0,0.0,1.8,23.0,5.4,1000.0,0.0
Girona,2026-01-27,05:30 - 06:00,05:30 - 06:00,5.8,6.2,5.6,96.0,0.0,3.6,336.0,7.6,999.4,0.0
Girona,2026-01-27,06:00 - 06:30,06:00 - 06:30,7.7,10.2,6.3,90.0,0.0,6.8,153.0,19.4,998.7,0.0
Girona,2026-01-27,06:30 - 07:00,06:30 - 07:00,10.4,11.1,10.1,77.0,0.0,9.7,181.0,20.5,998.8,0.0
Girona,2026-01-27,07:00 - 07:30,07:00 - 07:30,11.2,11.7,10.8,74.0,0.0,8.6,159.0,19.1,998.8,6.0
