station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-02-25,00:00 - 00:30,00:00 - 00:30,6.9,7.1,6.7,98.0,0.0
Fornells de la Selva,2026-02-25,00:30 - 01:00,00:30 - 01:00,6.5,6.7,6.2,98.0,0.0
Fornells de la Selva,2026-02-25,01:00 - 01:30,01:00 - 01:30,5.9,6.2,5.7,98.0,0.0
Fornells de la Selva,2026-02-25,01:30 - 02:00,01:30 - 02:00,5.8,5.8,5.7,98.0,0.0
Fornells de la Selva,2026-02-25,02:00 - 02:30,02:00 - 02:30,5.7,5.8,5.7,98.0,0.0
Fornells de la Selva,2026-02-25,02:30 - 03:00,02:30 - 03:00,5.2,5.7,4.9,98.0,0.0
Fornells de la Selva,2026-02-25,03:00 - 03:30,03:00 - 03:30,5.0,5.3,5.0,98.0,0.0
Fornells de la Selva,2026-02-25,03:30 - 04:00,03:30 - 04:00,5.1,5.4,4.9,98.0,0.0
Fornells de la Selva,2026-02-25,04:00 - 04:30,04:00 - 04:30,4.8,4.9,4.5,98.0,0.1
Fornells de la Selva,2026-02-25,04:30 - 05:00,04:30 - 05:00,4.6,4.7,4.5,98.0,0.0
Fornells de la Selva,2026-02-25,05:00 - 05:30,05:00 - 05:30,4.9,5.0,4.8,98.0,0.0
Fornells de la Selva,2026-02-25,05:30 - 06:00,05:30 - 06:00,5.2,5.3,5.1,98.0,0.0
Fornells de la Selva,2026-02-25,06:00 - 06:30,06:00 - 06:30,5.6,5.7,5.3,98.0,0.0
Fornells de la Selva,2026-02-25,06:30 - 07:00,06:30 - 07:00,6.0,6.3,5.7,98.0,0.0
Fornells de la Selva,2026-02-25,07:00 - 07:30,07:00 - 07:30,6.5,7.0,6.3,98.0,0.0
Fornells de la Selva,2026-02-25,07:30 - 08:00,07:30 - 08:00,7.6,8.3,7.0,98.0,0.0
Fornells de la Selva,2026-02-25,08:00 - 08:30,08:00 - 08:30,8.5,8.8,8.3,99.0,0.0
Fornells de la Selva,2026-02-25,08:30 - 09:00,08:30 - 09:00,9.4,9.9,8.9,99.0,0.0
