station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-06-19,00:00 - 00:30,00:00 - 00:30,13.5,13.7,13.3,81.0,0.0
Fornells de la Selva,2026-06-19,00:30 - 01:00,00:30 - 01:00,13.5,14.0,13.2,82.0,0.0
Fornells de la Selva,2026-06-19,01:00 - 01:30,01:00 - 01:30,14.1,14.4,13.8,78.0,0.0
Fornells de la Selva,2026-06-19,01:30 - 02:00,01:30 - 02:00,13.6,13.8,13.4,81.0,0.0
Fornells de la Selva,2026-06-19,02:00 - 02:30,02:00 - 02:30,14.2,14.6,13.8,83.0,0.0
Fornells de la Selva,2026-06-19,02:30 - 03:00,02:30 - 03:00,14.5,14.7,14.2,82.0,0.0
Fornells de la Selva,2026-06-19,03:00 - 03:30,03:00 - 03:30,14.0,14.3,13.9,84.0,0.0
Fornells de la Selva,2026-06-19,03:30 - 04:00,03:30 - 04:00,14.7,14.9,14.4,82.0,0.0
Fornells de la Selva,2026-06-19,04:00 - 04:30,04:00 - 04:30,14.9,15.1,14.8,83.0,0.0
Fornells de la Selva,2026-06-19,04:30 - 05:00,04:30 - 05:00,15.2,15.2,15.1,82.0,0.0
Fornells de la Selva,2026-06-19,05:00 - 05:30,05:00 - 05:30,15.2,15.5,15.1,82.0,0.0
Fornells de la Selva,2026-06-19,05:30 - 06:00,05:30 - 06:00,16.1,16.6,15.6,81.0,0.0
Fornells de la Selva,2026-06-19,06:00 - 06:30,06:00 - 06:30,19.1,20.7,16.8,68.0,0.0
Fornells de la Selva,2026-06-19,06:30 - 07:00,06:30 - 07:00,21.7,22.9,20.4,57.0,0.0
Fornells de la Selva,2026-06-19,07:00 - 07:30,07:00 - 07:30,24.6,25.8,23.1,45.0,0.0
Fornells de la Selva,2026-06-19,07:30 - 08:00,07:30 - 08:00,26.4,27.3,25.9,41.0,0.0
Fornells de la Selva,2026-06-19,08:00 - 08:30,08:00 - 08:30,27.9,28.6,27.0,38.0,0.0
Fornells de la Selva,2026-06-19,08:30 - 09:00,08:30 - 09:00,29.5,30.4,28.9,31.0,0.0
Fornells de la Selva,2026-06-19,09:00 - 09:30,09:00 - 09:30,30.7,31.4,30.4,26.0,0.0
Fornells de la Selva,2026-06-19,09:30 - 10:00,09:30 - 10:00,31.7,32.6,31.2,22.0,0.0
Fornells de la Selva,2026-06-19,10:00 - 10:30,10:00 - 10:30,31.9,32.3,31.4,24.0,0.0
Fornells de la Selva,2026-06-19,10:30 - 11:00,10:30 - 11:00,31.8,32.2,31.4,24.0,0.0
Fornells de la Selva,2026-06-19,11:00 - 11:30,11:00 - 11:30,32.0,32.5,31.6,25.0,0.0
