station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-09-23,00:00 - 00:30,00:00 - 00:30,12.7,12.8,12.5,100.0,0.0,0.4,281.0,2.5,1021.2,0.0
Girona,2026-09-23,00:30 - 01:00,00:30 - 01:00,12.3,12.4,12.2,100.0,0.0,0.4,280.0,1.8,1021.3,0.0
Girona,2026-09-23,01:00 - 01:30,01:00 - 01:30,12.1,12.3,11.9,100.0,0.0,0.7,277.0,2.5,1021.3,0.0
Girona,2026-09-23,01:30 - 02:00,01:30 - 02:00,11.7,11.9,11.3,100.0,0.0,,,,1021.3,0.0
Girona,2026-09-23,02:00 - 02:30,02:00 - 02:30,11.3,11.5,11.1,100.0,0.0,0.7,286.0,4.0,1021.3,0.0
Girona,2026-09-23,02:30 - 03:00,02:30 - 03:00,11.1,11.3,11.0,100.0,0.0,1.1,267.0,3.2,1021.2,0.0
Girona,2026-09-23,03:00 - 03:30,03:00 - 03:30,10.9,11.1,10.8,100.0,0.0,0.4,347.0,2.5,1021.3,0.0
Girona,2026-09-23,03:30 - 04:00,03:30 - 04:00,10.8,11.0,10.6,100.0,0.0,0.0,347.0,0.7,1021.3,0.0
Girona,2026-09-23,04:00 - 04:30,04:00 - 04:30,10.6,10.7,10.5,100.0,0.0,0.4,347.0,2.5,1021.5,0.0
Girona,2026-09-23,04:30 - 05:00,04:30 - 05:00,10.5,10.6,10.4,100.0,0.0,0.4,347.0,2.5,1021.7,0.0
Girona,2026-09-23,05:00 - 05:30,05:00 - 05:30,10.3,10.4,10.1,100.0,0.0,0.0,348.0,1.4,1021.9,0.0
Girona,2026-09-23,05:30 - 06:00,05:30 - 06:00,10.3,10.6,10.1,100.0,0.0,0.0,347.0,1.1,1022.2,12.0
Girona,2026-09-23,06:00 - 06:30,06:00 - 06:30,11.5,12.5,10.6,100.0,0.0,0.4,347.0,1.4,1022.3,71.0
Girona,2026-09-23,06:30 - 07:00,06:30 - 07:00,13.9,16.1,12.6,94.0,0.0,0.0,0.0,0.0,1022.4,145.0
Girona,2026-09-23,07:00 - 07:30,07:00 - 07:30,17.3,18.4,16.4,70.0,0.0,0.0,254.0,1.4,1022.5,243.0
Girona,2026-09-23,07:30 - 08:00,07:30 - 08:00,18.9,19.7,18.3,61.0,0.0,1.4,232.0,4.0,1022.6,343.0
Girona,2026-09-23,08:00 - 08:30,08:00 - 08:30,20.9,21.9,19.8,51.0,0.0,1.8,235.0,4.7,1022.8,438.0
Girona,2026-09-23,08:30 - 09:00,08:30 - 09:00,23.4,24.9,22.1,43.0,0.0,1.1,191.0,4.3,1022.8,520.0
Girona,2026-09-23,09:00 - 09:30,09:00 - 09:30,25.6,26.7,25.0,36.0,0.0,1.4,340.0,4.0,1022.7,590.0
Girona,2026-09-23,09:30 - 10:00,09:30 - 10:00,27.0,27.6,26.4,27.0,0.0,4.3,60.0,10.1,1022.7,655.0
Girona,2026-09-23,10:00 - 10:30,10:00 - 10:30,27.9,28.2,27.4,26.0,0.0,7.6,56.0,14.4,1022.5,706.0
Girona,2026-09-23,10:30 - 11:00,10:30 - 11:00,28.5,28.8,28.2,26.0,0.0,7.6,57.0,17.6,1022.4,745.0
Girona,2026-09-23,11:00 - 11:30,11:00 - 11:30,29.2,29.8,28.8,25.0,0.0,6.1,69.0,13.3,1022.0,767.0
Girona,2026-09-23,11:30 - 12:00,11:30 - 12:00,30.0,30.6,29.5,24.0,0.0,5.4,45.0,12.2,1021.8,773.0
Girona,2026-09-23,12:00 - 12:30,12:00 - 12:30,30.4,30.9,29.9,24.0,0.0,4.7,58.0,13.3,1021.6,766.0
Girona,2026-09-23,12:30 - 13:00,12:30 - 13:00,30.8,31.4,30.4,24.0,0.0,5.4,53.0,16.9,1021.4,742.0
Girona,2026-09-23,13:00 - 13:30,13:00 - 13:30,30.9,31.1,30.6,25.0,0.0,6.8,30.0,15.5,1021.2,703.0
Girona,2026-09-23,13:30 - 14:00,13:30 - 14:00,30.6,30.9,30.0,28.0,0.0,7.2,40.0,17.3,1021.0,650.0
Girona,2026-09-23,14:00 - 14:30,14:00 - 14:30,29.9,30.4,29.6,33.0,0.0,9.4,41.0,18.4,1020.9,583.0
