station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-03-25,00:00 - 00:30,00:00 - 00:30,5.3,5.6,5.1,100.0,0.0,0.7,309.0,4.0,1021.5,0.0
Girona,2026-03-25,00:30 - 01:00,00:30 - 01:00,5.1,5.5,4.8,100.0,0.0,1.4,312.0,4.3,1021.0,0.0
Girona,2026-03-25,01:00 - 01:30,01:00 - 01:30,4.7,4.9,4.6,100.0,0.0,2.2,288.0,6.5,1020.8,0.0
Girona,2026-03-25,01:30 - 02:00,01:30 - 02:00,4.6,4.8,4.4,100.0,0.0,1.8,322.0,5.4,1020.3,0.0
Girona,2026-03-25,02:00 - 02:30,02:00 - 02:30,4.3,4.6,4.1,100.0,0.0,2.2,275.0,5.8,1019.9,0.0
Girona,2026-03-25,02:30 - 03:00,02:30 - 03:00,4.2,5.0,3.9,100.0,0.0,4.3,248.0,9.0,1019.6,0.0
Girona,2026-03-25,03:00 - 03:30,03:00 - 03:30,4.9,5.1,4.7,100.0,0.0,4.3,259.0,7.6,1019.2,0.0
Girona,2026-03-25,03:30 - 04:00,03:30 - 04:00,4.1,4.6,4.0,100.0,0.0,2.2,277.0,5.0,1019.1,0.0
Girona,2026-03-25,04:00 - 04:30,04:00 - 04:30,4.3,4.7,3.9,100.0,0.0,3.2,228.0,7.6,1018.8,0.0
Girona,2026-03-25,04:30 - 05:00,04:30 - 05:00,4.8,5.1,4.2,100.0,0.0,1.8,235.0,6.8,1018.5,0.0
Girona,2026-03-25,05:00 - 05:30,05:00 - 05:30,4.2,4.5,3.9,100.0,0.0,2.5,289.0,6.8,1018.8,0.0
Girona,2026-03-25,05:30 - 06:00,05:30 - 06:00,3.6,3.9,3.3,100.0,0.0,2.5,288.0,6.1,1018.7,5.0
Girona,2026-03-25,06:00 - 06:30,06:00 - 06:30,3.7,4.6,3.2,100.0,0.0,2.5,259.0,4.7,1018.9,48.0
Girona,2026-03-25,06:30 - 07:00,06:30 - 07:00,5.6,6.5,4.6,100.0,0.0,0.4,349.0,3.2,1018.7,124.0
Girona,2026-03-25,07:00 - 07:30,07:00 - 07:30,7.3,8.4,6.6,92.0,0.0,1.1,259.0,3.2,1018.8,224.0
Girona,2026-03-25,07:30 - 08:00,07:30 - 08:00,9.7,11.2,8.4,79.0,0.0,1.1,290.0,3.2,1018.7,323.0
Girona,2026-03-25,08:00 - 08:30,08:00 - 08:30,11.9,13.2,10.7,71.0,0.0,1.8,180.0,5.0,1018.3,398.0
Girona,2026-03-25,08:30 - 09:00,08:30 - 09:00,14.0,15.6,12.9,63.0,0.0,1.1,266.0,4.0,1018.1,508.0
Girona,2026-03-25,09:00 - 09:30,09:00 - 09:30,16.6,17.8,15.2,55.0,0.0,1.1,144.0,5.4,1017.9,589.0
Girona,2026-03-25,09:30 - 10:00,09:30 - 10:00,17.8,18.1,17.3,50.0,0.0,2.5,170.0,6.1,1017.5,662.0
Girona,2026-03-25,10:00 - 10:30,10:00 - 10:30,18.7,19.2,18.0,45.0,0.0,2.9,163.0,8.3,1017.0,722.0
Girona,2026-03-25,10:30 - 11:00,10:30 - 11:00,19.8,20.6,19.0,43.0,0.0,2.9,88.0,10.1,1016.6,765.0
Girona,2026-03-25,11:00 - 11:30,11:00 - 11:30,19.9,20.5,19.7,43.0,0.0,4.3,108.0,13.0,1016.2,793.0
Girona,2026-03-25,11:30 - 12:00,11:30 - 12:00,20.6,21.0,20.4,43.0,0.0,7.2,153.0,18.0,1015.7,802.0
Girona,2026-03-25,12:00 - 12:30,12:00 - 12:30,20.7,20.9,20.4,40.0,0.0,7.9,155.0,16.2,1015.4,816.0
Girona,2026-03-25,12:30 - 13:00,12:30 - 13:00,21.1,21.5,20.6,39.0,0.0,6.5,180.0,16.9,1015.0,792.0
Girona,2026-03-25,13:00 - 13:30,13:00 - 13:30,20.6,20.8,20.4,40.0,0.0,10.8,102.0,20.9,1014.8,748.0
Girona,2026-03-25,13:30 - 14:00,13:30 - 14:00,20.1,20.4,19.8,41.0,0.0,13.3,97.0,24.5,1014.6,695.0
