station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-05-13,00:00 - 00:30,00:00 - 00:30,10.7,11.5,10.3,95.0,0.0
Fornells de la Selva,2026-05-13,00:30 - 01:00,00:30 - 01:00,10.6,10.7,10.3,97.0,0.0
Fornells de la Selva,2026-05-13,01:00 - 01:30,01:00 - 01:30,10.1,10.4,9.8,97.0,0.0
Fornells de la Selva,2026-05-13,01:30 - 02:00,01:30 - 02:00,9.8,9.9,9.6,97.0,0.0
Fornells de la Selva,2026-05-13,02:00 - 02:30,02:00 - 02:30,9.4,9.8,9.1,97.0,0.0
Fornells de la Selva,2026-05-13,02:30 - 03:00,02:30 - 03:00,8.8,9.3,8.6,97.0,0.0
Fornells de la Selva,2026-05-13,03:00 - 03:30,03:00 - 03:30,9.4,9.7,8.9,98.0,0.0
Fornells de la Selva,2026-05-13,03:30 - 04:00,03:30 - 04:00,9.7,9.7,9.6,98.0,0.0
Fornells de la Selva,2026-05-13,04:00 - 04:30,04:00 - 04:30,9.9,10.0,9.6,98.0,0.0
Fornells de la Selva,2026-05-13,04:30 - 05:00,04:30 - 05:00,10.3,10.6,10.0,98.0,0.0
