station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-01-29,00:00 - 00:30,00:00 - 00:30,0.4,0.7,-0.1,96.0,0.0
Fornells de la Selva,2026-01-29,00:30 - 01:00,00:30 - 01:00,0.6,0.7,0.4,96.0,0.0
Fornells de la Selva,2026-01-29,01:00 - 01:30,01:00 - 01:30,0.5,0.7,0.4,96.0,0.0
Fornells de la Selva,2026-01-29,01:30 - 02:00,01:30 - 02:00,0.8,0.8,0.7,96.0,0.0
Fornells de la Selva,2026-01-29,02:00 - 02:30,02:00 - 02:30,0.7,0.9,0.4,96.0,0.0
Fornells de la Selva,2026-01-29,02:30 - 03:00,02:30 - 03:00,0.2,0.4,-0.1,96.0,0.0
Fornells de la Selva,2026-01-29,03:00 - 03:30,03:00 - 03:30,-0.4,0.0,-0.6,96.0,0.0
Fornells de la Selva,2026-01-29,03:30 - 04:00,03:30 - 04:00,-0.7,-0.4,-0.8,96.0,0.0
Fornells de la Selva,2026-01-29,04:00 - 04:30,04:00 - 04:30,-0.8,-0.6,-1.0,96.0,0.0
Fornells de la Selva,2026-01-29,04:30 - 05:00,04:30 - 05:00,-0.7,-0.5,-0.9,96.0,0.0
Fornells de la Selva,2026-01-29,05:00 - 05:30,05:00 - 05:30,-0.9,-0.8,-1.0,96.0,0.0
Fornells de la Selva,2026-01-29,05:30 - 06:00,05:30 - 06:00,-0.9,-0.7,-1.1,96.0,0.0
Fornells de la Selva,2026-01-29,06:00 - 06:30,06:00 - 06:30,-0.5,-0.3,-0.7,97.0,0.0
Fornells de la Selva,2026-01-29,06:30 - 07:00,06:30 - 07:00,-0.2,0.0,-0.3,97.0,0.0
Fornells de la Selva,2026-01-29,07:00 - 07:30,07:00 - 07:30,0.0,0.0,-0.1,96.0,0.0
Fornells de la Selva,2026-01-29,07:30 - 08:00,07:30 - 08:00,-0.1,0.1,-0.3,96.0,0.0
Fornells de la Selva,2026-01-29,08:00 - 08:30,08:00 - 08:30,0.4,0.8,0.0,96.0,0.0
Fornells de la Selva,2026-01-29,08:30 - 09:00,08:30 - 09:00,1.3,1.8,0.9,95.0,0.0
Fornells de la Selva,2026-01-29,09:00 - 09:30,09:00 - 09:30,2.6,3.4,1.9,93.0,0.0
Fornells de la Selva,2026-01-29,09:30 - 10:00,09:30 - 10:00,3.8,4.7,3.4,89.0,0.0
Fornells de la Selva,2026-01-29,10:00 - 10:30,10:00 - 10:30,6.5,7.5,4.8,84.0,0.0
Fornells de la Selva,2026-01-29,10:30 - 11:00,10:30 - 11:00,8.4,9.4,7.3,71.0,0.0
Fornells de la Selva,2026-01-29,11:00 - 11:30,11:00 - 11:30,10.4,11.2,9.4,61.0,0.0
Fornells de la Selva,2026-01-29,11:30 - 12:00,11:30 - 12:00,11.6,12.2,11.0,55.0,0.0
Fornells de la Selva,2026-01-29,12:00 - 12:30,12:00 - 12:30,11.2,11.9,10.6,59.0,0.0
